tripStartTime,tripDuration
2020-06-01 00:00:26,1160
2020-06-01 00:01:09,1419
2020-06-01 00:01:29,1093
2020-06-01 00:01:36,1067
2020-06-01 00:01:51,1391
2020-06-01 00:03:23,3901
2020-06-01 00:03:33,1051
2020-06-01 00:07:11,1334
2020-06-01 00:07:38,664
2020-06-01 00:08:00,2319
2020-06-01 00:08:12,1180
2020-06-01 00:12:06,2595
2020-06-01 00:12:39,5614
2020-06-01 00:13:17,466
2020-06-01 00:15:12,603
2020-06-01 00:16:21,2340
2020-06-01 00:16:27,926
2020-06-01 00:16:49,1408
2020-06-01 00:17:37,430
2020-06-01 00:17:39,2570
2020-06-01 00:20:41,145
2020-06-01 00:20:47,1282
2020-06-01 00:20:55,2389
2020-06-01 00:21:12,1252
2020-06-01 00:21:53,819
2020-06-01 00:23:18,1439
2020-06-01 00:25:51,2527
2020-06-01 00:25:58,2492
2020-06-01 00:27:06,3925
2020-06-01 00:27:11,324
2020-06-01 00:28:27,396
2020-06-01 00:29:00,393
2020-06-01 00:30:27,2483
2020-06-01 00:30:33,2450
2020-06-01 00:30:43,849
2020-06-01 00:32:03,1868
2020-06-01 00:32:16,890
2020-06-01 00:32:44,1054
2020-06-01 00:33:05,2629
2020-06-01 00:33:12,2618
2020-06-01 00:33:17,2329
2020-06-01 00:34:06,1289
2020-06-01 00:34:48,38657
2020-06-01 00:34:56,2542
2020-06-01 00:35:11,411
2020-06-01 00:36:11,351
2020-06-01 00:36:29,1946
2020-06-01 00:38:04,2393
2020-06-01 00:38:09,2985
2020-06-01 00:38:09,2374
2020-06-01 00:38:13,2386
2020-06-01 00:40:51,1176
2020-06-01 00:42:01,1496
2020-06-01 00:42:20,1165
2020-06-01 00:42:29,723
2020-06-01 00:42:29,664
2020-06-01 00:42:43,3128
2020-06-01 00:42:49,711
2020-06-01 00:42:59,380
2020-06-01 00:45:03,928
2020-06-01 00:45:41,2575
2020-06-01 00:45:59,1918
2020-06-01 00:50:58,253
2020-06-01 00:52:55,442
2020-06-01 00:55:26,3082
2020-06-01 00:57:59,3385
2020-06-01 00:58:15,3405
2020-06-01 01:01:23,124
2020-06-01 01:01:31,359
2020-06-01 01:03:27,1628
2020-06-01 01:03:48,1617
2020-06-01 01:05:00,793
2020-06-01 01:05:09,93
2020-06-01 01:05:13,815
2020-06-01 01:05:41,2122
2020-06-01 01:06:00,2112
2020-06-01 01:06:05,2095
2020-06-01 01:08:15,2138
2020-06-01 01:08:40,1146
2020-06-01 01:08:46,24850
2020-06-01 01:08:47,864
2020-06-01 01:08:56,47901
2020-06-01 01:10:01,120
2020-06-01 01:11:00,564
2020-06-01 01:12:47,1505
2020-06-01 01:14:24,1188
2020-06-01 01:14:56,1356
2020-06-01 01:17:52,458
2020-06-01 01:17:58,453
2020-06-01 01:18:11,136
2020-06-01 01:22:58,166
2020-06-01 01:24:30,777
2020-06-01 01:33:39,704
2020-06-01 01:34:23,950
2020-06-01 01:35:02,1937
2020-06-01 01:35:10,1925
2020-06-01 01:36:18,1880
2020-06-01 01:36:37,918
2020-06-01 01:36:39,514
2020-06-01 01:37:51,2289
2020-06-01 01:38:07,1328
2020-06-01 01:43:41,1888
2020-06-01 01:51:20,3449
2020-06-01 01:54:14,791
2020-06-01 01:55:11,731697
2020-06-01 01:55:13,715
2020-06-01 01:55:18,838
2020-06-01 01:55:19,751
2020-06-01 01:55:21,627798
2020-06-01 02:03:02,3573
2020-06-01 02:04:01,2106
2020-06-01 02:04:04,2083
2020-06-01 02:09:20,273
2020-06-01 02:10:38,3040
2020-06-01 02:12:16,2430767
2020-06-01 02:12:32,36312
2020-06-01 02:21:40,460
2020-06-01 02:21:55,1959
2020-06-01 02:43:33,166430
2020-06-01 02:43:38,212081
2020-06-01 02:45:43,1721
2020-06-01 02:45:47,1729
2020-06-01 02:47:16,1641
2020-06-01 02:47:20,1637
2020-06-01 02:51:25,1339
2020-06-01 02:59:13,856
2020-06-01 03:02:39,2043
2020-06-01 03:14:14,1534
2020-06-01 03:14:36,1568
2020-06-01 03:22:54,874
2020-06-01 03:28:40,986
2020-06-01 03:38:06,2808
2020-06-01 03:44:15,2401
2020-06-01 03:44:32,1686
2020-06-01 03:47:52,404
2020-06-01 03:52:02,629
2020-06-01 03:57:00,1115
2020-06-01 03:57:25,985
2020-06-01 04:03:01,1177
2020-06-01 04:03:05,1235
2020-06-01 04:04:21,571
2020-06-01 04:07:58,2195
2020-06-01 04:10:46,5700
2020-06-01 04:12:43,1989
2020-06-01 04:26:46,635
2020-06-01 04:28:52,1303
2020-06-01 04:50:01,6926
2020-06-01 04:50:26,6890
2020-06-01 04:59:59,794
2020-06-01 05:00:09,497
2020-06-01 05:00:34,475
2020-06-01 05:01:34,287017
2020-06-01 05:05:19,791
2020-06-01 05:06:19,1047
2020-06-01 05:08:55,352
2020-06-01 05:09:30,346
2020-06-01 05:16:34,902
2020-06-01 05:16:55,183
2020-06-01 05:21:02,236
2020-06-01 05:23:32,3463
2020-06-01 05:23:47,3271
2020-06-01 05:25:04,5315
2020-06-01 05:25:24,454
2020-06-01 05:27:06,811
2020-06-01 05:30:42,352
2020-06-01 05:40:04,749
2020-06-01 05:42:13,951
2020-06-01 05:42:38,391
2020-06-01 05:42:59,1213
2020-06-01 05:44:57,1056
2020-06-01 05:45:17,721
2020-06-01 05:46:30,513
2020-06-01 05:47:19,667
2020-06-01 05:49:17,3143
2020-06-01 05:51:38,2149
2020-06-01 05:51:44,527
2020-06-01 05:53:26,681
2020-06-01 05:53:55,2555
2020-06-01 05:54:28,320
2020-06-01 05:54:55,893
2020-06-01 05:57:35,1755
2020-06-01 05:58:28,1104
