tripStartTime,tripDuration
2020-03-01 00:01:09,366
2020-03-01 00:01:11,367
2020-03-01 00:01:50,120
2020-03-01 00:01:57,646
2020-03-01 00:02:04,424
2020-03-01 00:02:12,1459
2020-03-01 00:02:44,564
2020-03-01 00:03:23,962
2020-03-01 00:03:29,362
2020-03-01 00:03:55,1349
2020-03-01 00:04:16,393
2020-03-01 00:05:14,756
2020-03-01 00:05:15,423
2020-03-01 00:06:18,89
2020-03-01 00:07:14,563
2020-03-01 00:08:02,587
2020-03-01 00:08:30,127
2020-03-01 00:08:57,434
2020-03-01 00:09:01,606
2020-03-01 00:09:15,785
2020-03-01 00:10:08,101
2020-03-01 00:11:06,307
2020-03-01 00:12:25,664
2020-03-01 00:12:26,745
2020-03-01 00:12:28,426
2020-03-01 00:13:51,756
2020-03-01 00:13:59,109
2020-03-01 00:14:22,367
2020-03-01 00:14:37,1343
2020-03-01 00:16:28,924
2020-03-01 00:16:49,705
2020-03-01 00:17:50,495
2020-03-01 00:22:04,654
2020-03-01 00:22:17,301
2020-03-01 00:22:49,234
2020-03-01 00:24:31,162
2020-03-01 00:29:22,336
2020-03-01 00:29:29,221
2020-03-01 00:29:33,300
2020-03-01 00:41:13,203
2020-03-01 00:41:35,482
2020-03-01 00:46:40,313
2020-03-01 00:51:36,385
2020-03-01 00:52:53,517
2020-03-01 00:52:58,462
2020-03-01 00:53:16,723
2020-03-01 00:53:40,680
2020-03-01 00:56:14,212
2020-03-01 00:58:14,269
2020-03-01 00:59:46,389
2020-03-01 01:01:32,603
2020-03-01 01:02:12,286
2020-03-01 01:04:49,124
2020-03-01 01:05:07,1474
2020-03-01 01:05:56,629
2020-03-01 01:06:56,1477
2020-03-01 01:07:16,1114
2020-03-01 01:11:51,352
2020-03-01 01:14:24,757
2020-03-01 01:17:37,350
2020-03-01 01:18:32,618
2020-03-01 01:19:20,309
2020-03-01 01:20:15,567
2020-03-01 01:20:20,551
2020-03-01 01:22:40,862
2020-03-01 01:22:54,305
2020-03-01 01:23:57,577
2020-03-01 01:24:51,821
2020-03-01 01:27:22,504
2020-03-01 01:28:03,3286
2020-03-01 01:37:23,558
2020-03-01 01:38:58,675
2020-03-01 01:40:11,545
2020-03-01 01:42:42,813
2020-03-01 01:44:11,351
2020-03-01 01:49:41,580
2020-03-01 01:51:57,70
2020-03-01 01:52:54,198
2020-03-01 01:54:17,1644
2020-03-01 01:59:50,186
2020-03-01 02:00:35,1016
2020-03-01 02:01:22,833
2020-03-01 02:01:29,862
2020-03-01 02:04:58,393
2020-03-01 02:05:08,1672
2020-03-01 02:05:12,808
2020-03-01 02:06:21,662
2020-03-01 02:06:24,784
2020-03-01 02:06:47,2492
2020-03-01 02:07:25,615
2020-03-01 02:08:11,643
2020-03-01 02:09:48,463
2020-03-01 02:10:36,178
2020-03-01 02:11:57,1377
2020-03-01 02:12:46,375
2020-03-01 02:15:20,445
2020-03-01 02:21:00,2354
2020-03-01 02:21:52,2307
2020-03-01 02:25:18,448
2020-03-01 02:27:56,924
2020-03-01 02:31:58,2377
2020-03-01 02:32:49,487
2020-03-01 02:38:38,690
2020-03-01 02:39:31,350
2020-03-01 02:43:02,498
2020-03-01 02:45:21,820
2020-03-01 02:52:52,1502
2020-03-01 02:55:41,1136
2020-03-01 03:04:47,683
2020-03-01 03:08:51,398
2020-03-01 03:17:41,39599
2020-03-01 03:25:46,1360
2020-03-01 03:28:28,474
2020-03-01 03:32:20,362
2020-03-01 03:36:10,968
2020-03-01 03:44:53,2646
2020-03-01 04:19:14,947
2020-03-01 04:38:53,127
2020-03-01 04:50:43,473
2020-03-01 04:54:45,494
2020-03-01 05:21:15,1462
2020-03-01 05:21:43,1416
2020-03-01 05:22:28,1384
2020-03-01 05:22:39,321
2020-03-01 05:53:17,184
2020-03-01 05:55:43,289
2020-03-01 06:16:45,406
2020-03-01 06:21:04,661
2020-03-01 06:23:18,1077
2020-03-01 06:25:12,752
2020-03-01 06:28:24,628
2020-03-01 06:31:27,420
2020-03-01 06:36:20,179
2020-03-01 06:39:59,520
2020-03-01 06:46:12,454
2020-03-01 06:47:07,1119
2020-03-01 06:50:47,94
2020-03-01 06:51:39,176
2020-03-01 06:56:53,1298
2020-03-01 06:58:00,134
2020-03-01 06:58:56,324
2020-03-01 07:01:09,736
2020-03-01 07:02:55,272
2020-03-01 07:03:33,1269
2020-03-01 07:06:44,456
2020-03-01 07:15:14,881
2020-03-01 07:28:31,1448
2020-03-01 07:28:48,283
2020-03-01 07:33:19,514
2020-03-01 07:34:50,797
2020-03-01 07:38:59,1770
2020-03-01 07:40:38,421
2020-03-01 07:42:21,772
2020-03-01 07:43:23,404
2020-03-01 07:44:10,355
2020-03-01 07:44:48,367
2020-03-01 07:45:15,520
2020-03-01 07:45:19,485
2020-03-01 07:49:50,439
2020-03-01 07:51:04,617
2020-03-01 07:54:40,1017
2020-03-01 08:00:48,983
2020-03-01 08:00:59,344
2020-03-01 08:02:20,464
2020-03-01 08:06:28,1077
2020-03-01 08:07:26,1569
2020-03-01 08:07:43,415
2020-03-01 08:08:56,800
2020-03-01 08:09:26,274
2020-03-01 08:13:07,350
2020-03-01 08:15:44,370
2020-03-01 08:15:52,270
2020-03-01 08:16:19,303
2020-03-01 08:19:28,604
2020-03-01 08:20:07,260
2020-03-01 08:21:26,302
2020-03-01 08:21:41,252
2020-03-01 08:21:51,336
2020-03-01 08:23:10,199
2020-03-01 08:23:16,172
2020-03-01 08:24:54,509
2020-03-01 08:25:07,478
2020-03-01 08:25:29,291
2020-03-01 08:26:16,296
2020-03-01 08:27:38,357
2020-03-01 08:28:07,580
2020-03-01 08:29:08,1613
2020-03-01 08:29:39,1594
2020-03-01 08:29:56,229
2020-03-01 08:29:59,629
2020-03-01 08:31:16,404
