tripStartTime,tripDuration
0.516666667,7.216666667
0.516666667,14.63333333
1.35,44.2
1.35,14.56666667
1.416666667,14.3
1.55,36.75
1.75,35.4
2.083333333,42.31666667
2.516666667,42.01666667
2.533333333,88.2
2.983333333,6.466666667
4.033333333,41.28333333
4.183333333,9.566666667
4.283333333,15.5
4.666666667,19.01666667
6.266666667,5.183333333
7.366666667,2.966666667
8.433333333,16.05
9.966666667,9.483333333
11.21666667,8.783333333
12.48333333,22.23333333
12.83333333,14.16666667
13.9,3.35
16.76666667,1.4
17.06666667,28.7
17.33333333,13.78333333
17.76666667,8.45
21.46666667,7.65
22.11666667,5.066666667
22.65,4.55
25.83333333,8.666666667
26.36666667,44.8
26.53333333,44.66666667
26.73333333,4.966666667
27.2,7.983333333
27.96666667,3.65
28.13333333,18.51666667
29.35,11.06666667
30.38333333,45.36666667
30.8,39.33333333
31.73333333,10.33333333
31.93333333,5.75
32.45,17.73333333
37.18333333,5.066666667
38.66666667,48.06666667
38.76666667,48
40.35,5.1
40.43333333,9.233333333
41.33333333,2.2
43.21666667,4.416666667
44.11666667,6.566666667
44.35,5.65
45.93333333,28.83333333
46.45,27.98333333
46.85,5
47.3,5.766666667
49.35,13.15
49.75,11.18333333
50.88333333,16.76666667
52.71666667,3.383333333
52.73333333,30.06666667
52.75,29.5
53.51666667,28.81666667
53.7,27.8
53.9,6.75
56.8,23.9
58.18333333,5.266666667
59.8,3.3
59.9,15.96666667
60,19.31666667
61.06666667,33.88333333
61.86666667,19.53333333
63.21666667,26.23333333
63.3,26.28333333
63.41666667,24.93333333
63.48333333,25.58333333
64.41666667,24.18333333
64.61666667,15.25
64.91666667,4.35
65.1,23.45
66.6,7
67.03333333,4.633333333
69.31666667,27.36666667
69.88333333,18.45
70.53333333,9.7
73.33333333,8.233333333
73.38333333,8.15
73.41666667,6.183333333
74.36666667,13.33333333
78.58333333,17.03333333
79.88333333,15.68333333
80.06666667,19.06666667
81.8,7.733333333
82.51666667,5.45
82.7,25.68333333
82.83333333,27.73333333
85.11666667,53.43333333
89.16666667,15.91666667
91.91666667,5.416666667
92.08333333,12.16666667
92.55,41.36666667
97.56666667,10.61666667
99.65,14.15
100.15,5.5
100.1833333,19.46666667
100.45,19.13333333
101.05,14.11666667
101.7,17.33333333
104.65,52.55
105.35,55.51666667
106.6666667,33.38333333
107.5666667,16.28333333
108.0666667,8.983333333
108.9333333,15.61666667
109.2333333,7.9
109.3333333,3.75
109.4,15.31666667
111.0666667,24.46666667
114.1666667,21.23333333
114.8,22.45
121.9,7.816666667
124.8,30.88333333
135.75,10.55
139.5833333,7.733333333
140.3166667,4.783333333
