GrLivArea,SalePrice
1.377777778,21650
1.377777778,43900
3.6,132600
3.6,43700
3.777777778,42900
4.133333333,110250
4.666666667,106200
5.555555556,126950
6.711111111,126050
6.755555556,264600
7.955555556,19400
10.75555556,123850
11.15555556,28700
11.42222222,46500
12.44444444,57050
16.71111111,15550
19.64444444,8900
22.48888889,48150
26.57777778,28450
29.91111111,26350
33.28888889,66700
34.22222222,42500
37.06666667,10050
44.71111111,4200
45.51111111,86100
46.22222222,41350
47.37777778,25350
57.24444444,22950
58.97777778,15200
60.4,13650
68.88888889,26000
70.31111111,134400
70.75555556,134000
71.28888889,14900
72.53333333,23950
74.57777778,10950
75.02222222,55550
78.26666667,33200
81.02222222,136100
82.13333333,118000
84.62222222,31000
85.15555556,17250
86.53333333,53200
99.15555556,15200
103.1111111,144200
103.3777778,144000
107.6,15300
107.8222222,27700
110.2222222,6600
115.2444444,13250
117.6444444,19700
118.2666667,16950
122.4888889,86500
123.8666667,83950
124.9333333,15000
126.1333333,17300
131.6,39450
132.6666667,33550
135.6888889,50300
140.5777778,10150
140.6222222,90200
140.6666667,88500
142.7111111,86450
143.2,83400
143.7333333,20250
151.4666667,71700
155.1555556,15800
159.4666667,9900
159.7333333,47900
160,57950
162.8444444,101650
164.9777778,58600
168.5777778,78700
168.8,78850
169.1111111,74800
169.2888889,76750
171.7777778,72550
172.3111111,45750
173.1111111,13050
173.6,70350
177.6,21000
178.7555556,13900
184.8444444,82100
186.3555556,55350
188.0888889,29100
195.5555556,24700
195.6888889,24450
195.7777778,18550
198.3111111,40000
209.5555556,51100
213.0222222,47050
213.5111111,57200
218.1333333,23200
220.0444444,16350
220.5333333,77050
220.8888889,83200
226.9777778,160300
237.7777778,47750
245.1111111,16250
245.5555556,36500
246.8,124100
260.1777778,31850
265.7333333,42450
267.0666667,16500
267.1555556,58400
267.8666667,57400
269.4666667,42350
271.2,52000
279.0666667,157650
280.9333333,166550
284.4444444,100150
286.8444444,48850
288.1777778,26950
290.4888889,46850
291.2888889,23700
291.5555556,11250
291.7333333,45950
296.1777778,73400
304.4444444,63700
306.1333333,67350
325.0666667,23450
332.8,92650
362,31650
372.2222222,23200
374.1777778,14350
389.2,34100
392.9333333,13100
393.3333333,38050
397.6,69450
400.7111111,26050
434.0444444,90000
444.4444444,28250
444.5777778,6700
451.7777778,81050
455.0666667,120050
512.1777778,57650
512.8,54200
517.9555556,112650
519.1555556,20350
524.8,41150
525.6888889,39450
527.1111111,86400
545.2888889,91100
557.0666667,16150
584.6222222,54300
597.6888889,13800
607.6888889,53800
612.1777778,19400
619.3333333,73050
621.5555556,100950
624.3111111,24200
628.4,34750
638.8888889,913600
640.3555556,564700
645.2,19100
650.8,77400
669.6888889,56750
679.2888889,32850
682.1333333,60700
685.3333333,19150
701.5111111,27450
705.2,51150
711.9555556,50950
722.1777778,19650
726.4,101900
733.2444444,37100
740.5777778,187350
743.6444444,12500
743.8222222,35200
744.0444444,47900
746.4444444,57850
749.6,46050
757.6888889,33000
758.8,23650
767.1111111,59700
767.7777778,21550
769.8666667,17250
770.2666667,85150
777.6,151050
778.5333333,69150
778.9333333,73350
779.1111111,24250
780.4,23150
787.0222222,69850
794.9777778,6500
797.9555556,10650
801.3777778,9000
811.7777778,86250
818.4,63950
821.2,63800
824.8444444,34450
842.0888889,100450
842.2666667,89100
843.3333333,26300
844.1777778,31400
844.5333333,54250
844.6222222,31150
849.2,17500
854,37750
854.6666667,11400
856.6666667,10450
857.0222222,33600
862.1777778,20800
866.8444444,19500
869.0222222,29400
871.7333333,29550
871.9111111,28950
877.6888889,28950
880.8888889,23150
881.1555556,16750
881.5555556,22200
893.0666667,49650
894.9777778,101200
896.5333333,31450
896.7555556,16400
897.4666667,26100
899.7777778,24150
901.0222222,27800
902.0444444,23100
902.9333333,24350
904.8888889,65250
905.9555556,41600
907.2444444,82500
907.6444444,24100
909.9111111,31000
911.1111111,30100
911.4666667,47500
912.7555556,28400
913.6,17900
915.7333333,47100
915.8222222,48750
916.4888889,35150
916.9333333,13300
919.8666667,17300
922.4,9700
923.5111111,38300
923.9111111,61950
925.3777778,14100
926.4444444,15300
927.2,7950
927.2444444,41900
927.2444444,34200
929.3333333,37550
930.5333333,43300
930.6666667,16700
931.6,143100
931.8222222,55550
932.4444444,37750
939.5111111,8100
939.5555556,15250
940.2222222,9150
940.5777778,47250
942.4,26750
944.0888889,67300
944.3111111,10150
945.6,85650
948.7111111,4450
950,18100
950.1333333,12300
954.4,32100
954.6666667,24750
955.1555556,9550
960.5333333,44950
961.8666667,79250
962.4444444,20250
962.9777778,33850
963.3777778,16150
966.3111111,29150
967.0222222,34150
967.3777778,27200
967.4666667,41550
967.4666667,51600
967.6,30800
968.0444444,114600
969.6888889,66400
971.8666667,54750
972.6222222,48450
972.7555556,28400
975.7333333,32900
977.1111111,86950
978.0444444,45500
978.2666667,23600
979.1555556,16050
979.7333333,35450
980.1777778,51800
981.5111111,61700
985.2444444,158900
985.6,22000
985.6,39150
986.4444444,32800
986.7111111,36750
987.6888889,76250
988.0888889,44950
988.4444444,38850
990.6666667,19700
991.5555556,18050
991.5555556,35200
991.7333333,26150
992,35650
992.3111111,53450
992.9333333,67600
993.5111111,71450
995.5111111,21050
996.3111111,72150
998.4,33950
999.1555556,42150
999.9111111,82400
1000.266667,25500
1001.422222,34100
1001.6,47150
1001.777778,38150
1002.044444,48900
1004.666667,11350
1005.155556,54100
1005.688889,18100
1006.177778,18700
1007.422222,76600
1008.177778,46000
1010.8,54650
1011.022222,20150
1011.6,18450
1013.111111,15600
1013.111111,18150
1014.444444,40700
1016.088889,27450
1016.355556,61900
1016.888889,65600
1017.066667,53950
1017.6,46900
1017.911111,22100
1018.755556,18800
1019.066667,21800
1019.688889,30200
1020.355556,55100
1021.511111,31050
1022.088889,50450
1022.533333,114000
1023.2,25850
1023.733333,49750
1025.466667,55250
1026.8,28400
1027.866667,17500
1028.444444,17650
1028.444444,84000
1028.444444,20600
1029.955556,20550
1030.177778,71250
1030.355556,31250
1030.4,78050
1031.422222,14650
1032.622222,46700
1032.888889,114500
1033.066667,38300
1035.466667,64050
1035.911111,43100
1036.222222,88400
1036.488889,84550
1037.288889,56300
1042.533333,45000
1042.533333,10400
1043.644444,41800
1043.733333,39550
1045.2,61900
1048.355556,97850
1048.577778,16650
1048.844444,73900
1050.133333,10850
1050.222222,40200
1050.444444,34200
1051.911111,67850
1053.377778,43050
1053.511111,19200
1054,16950
1054.4,20550
1055.333333,59000
1056.577778,26800
1058.311111,72800
1059.2,43400
1059.6,31600
1059.6,47450
1059.822222,34450
1060.311111,71650
1060.311111,17800
1060.444444,69750
1060.977778,25700
1061.155556,33550
1061.155556,27650
1061.2,41850
1061.2,22000
1061.422222,30800
1062,56200
1062.311111,35000
1063.955556,19700
1064.222222,30350
1064.622222,41250
1065.333333,35500
1065.422222,23100
1066.933333,35800
1068.488889,119050
1070.888889,76150
1070.977778,25550
1071.688889,24700
1073.022222,23500
1073.911111,63250
1074.044444,23200
1075.155556,33750
1075.466667,46350
1075.6,15600
1075.6,31750
1076.4,35200
1076.622222,259000
1076.755556,36350
1077.155556,31800
1077.644444,23750
1080.444444,34650
1081.066667,21750
1082,20200
1082.355556,24000
1084,53600
1084.177778,32800
1084.488889,48700
1085.155556,88100
1085.244444,42350
1087.288889,38500
1088.488889,23450
1088.977778,11850
1089.422222,29550
1089.555556,20650
1089.688889,8550
1090.088889,29150
1090.088889,50350
1090.355556,21600
1090.4,28350
1090.444444,61750
1090.666667,39500
1090.888889,8050
1092.044444,45750
1092.133333,85850
1093.6,29050
1094.622222,38500
1095.066667,38050
1095.422222,20200
1095.511111,38350
1095.688889,12750
1096.311111,33200
1099.155556,28200
1099.733333,21950
1100.488889,41550
1100.488889,31600
1100.533333,84400
1102.444444,8850
1103.066667,31950
1103.466667,87500
1103.822222,98050
1103.911111,36400
1104.177778,78750
1105.466667,30550
1107.6,39000
1108.222222,26000
1111.066667,18000
1111.2,26000
1111.466667,22150
1111.733333,104950
1112.622222,57350
1112.755556,30050
1113.066667,20350
1113.688889,65750
1114.311111,13450
1114.888889,41650
1114.977778,25900
1117.644444,26450
1118.888889,63150
1119.066667,102550
1120.355556,121300
1120.888889,52100
1122,41700
1122.577778,48050
1122.711111,61350
1124.133333,37900
1124.533333,52800
1124.888889,10600
1127.511111,17550
1127.511111,81350
1128.844444,33300
1128.888889,8100
1128.888889,21400
1129.288889,57450
1129.288889,20650
1129.377778,33750
1131.288889,13650
1133.155556,29900
1133.6,36600
1133.866667,23850
1133.911111,182450
1134.133333,37100
1134.311111,36800
1135.111111,48750
1135.688889,31950
1135.911111,20950
1136.622222,45050
1136.755556,77800
1137.911111,27500
1138.355556,44550
1139.333333,36300
1140.533333,14550
1141.422222,32200
1142.666667,122150
1142.711111,70450
1144.266667,65000
1145.466667,6550
1145.466667,36300
1145.555556,14050
1145.777778,52500
1146.533333,28900
1146.8,74050
1147.377778,36750
1149.688889,19900
1150.088889,45850
1151.911111,33800
1152.844444,110200
1153.066667,59000
1154.755556,52400
1154.844444,47700
1155.555556,61050
1155.555556,102400
1155.644444,56100
1155.733333,38550
1156.311111,27900
1156.755556,58350
1157.022222,33600
1157.111111,44300
1157.466667,121900
1157.822222,78450
1158.266667,15550
1158.622222,86700
1158.666667,43850
1158.844444,36450
1159.777778,11000
1159.955556,11000
1160.311111,49900
1160.711111,75850
1160.844444,9400
1160.888889,51900
1161.288889,73100
1161.511111,24700
1161.644444,26200
1162.044444,17650
1162.933333,30750
1162.977778,18650
1163.333333,22500
1164.533333,33050
1164.577778,16400
1164.755556,41000
1164.755556,49350
1164.933333,27750
1165.244444,48950
1165.466667,14800
1166,59750
1166.622222,11950
1167.422222,85250
1167.6,73950
1168,30550
1168.4,33050
1168.577778,65450
1168.577778,18450
1168.622222,53750
1169.6,56950
1169.688889,22450
1169.866667,17800
1170.444444,35450
1170.711111,20750
1171.066667,27350
1171.777778,33800
1173.022222,105950
1174.266667,15800
1174.666667,20950
1175.155556,17850
1175.288889,43750
1175.777778,37100
1175.777778,38150
1176.088889,64900
1176.711111,36950
1176.977778,59150
1177.244444,10700
1177.777778,29850
1177.955556,15000
1178.266667,27400
1178.311111,75800
1178.444444,34400
1178.755556,9250
1178.977778,23950
1179.422222,163800
1180.044444,23100
1180.622222,51650
1180.977778,60950
1181.111111,76800
1181.155556,56850
1181.155556,25550
1181.2,58000
1181.511111,49650
1183.022222,23350
1183.288889,54100
1184,58300
1184.355556,9650
1184.533333,43000
1184.711111,58200
1184.933333,105100
1185.288889,40650
1185.688889,39150
1185.955556,62300
1186.844444,50450
1189.822222,57300
1190.266667,65650
1190.266667,16600
1190.622222,32800
1190.666667,79350
1191.511111,40100
1191.6,37800
1192.222222,42750
1192.533333,32650
1192.577778,24000
1192.8,38000
1192.933333,32550
1193.2,27650
1193.6,15600
1193.733333,44350
1194.088889,43200
1194.133333,18300
1194.133333,46650
1194.666667,27550
1195.333333,35550
1195.377778,35050
1195.422222,32650
1195.688889,29800
1195.733333,27600
1195.955556,44900
1196.133333,38100
1197.377778,47850
1198,34600
1198.222222,14200
1199.244444,58550
1199.333333,35200
1199.6,15850
1200.133333,39800
1200.577778,45350
1201.155556,49900
1201.155556,61850
1202.488889,40850
1202.8,49600
1203.911111,101950
1204.4,49950
1204.844444,71700
1205.822222,53250
1206.044444,46350
1206.266667,33350
1206.533333,89950
1206.711111,113700
1206.933333,48200
1207.822222,32200
1208.311111,48950
1208.311111,42800
1208.577778,90800
1208.933333,39000
1209.644444,17450
1209.777778,25800
1210.133333,38350
1211.6,27300
1211.644444,30800
1212.266667,17300
1212.933333,24750
1213.2,39800
1213.244444,24900
1213.688889,25900
1213.777778,31400
1213.822222,37400
1213.955556,112050
1214.8,87150
1214.933333,19400
1214.933333,31500
1214.977778,17000
1215.155556,48800
1215.333333,42200
1215.377778,37000
1215.911111,14350
1216,25700
1216.666667,24750
1216.888889,29050
1217.288889,8200
1217.511111,40250
1218.444444,20850
1218.8,57550
1219.288889,31600
1219.777778,209250
1219.777778,16300
1219.822222,29800
1220,32950
1220.044444,60000
1220.044444,82800
1220.533333,119300
1220.8,209100
1220.888889,25950
1221.777778,51950
1221.911111,45650
1222.133333,39050
1222.222222,69300
1223.733333,86350
1223.822222,10250
1224.4,55650
1224.888889,78200
1224.977778,49750
1224.977778,86400
1225.555556,51350
1225.555556,83650
1225.911111,52950
1226.4,21950
1226.533333,45250
1226.666667,17100
1227.022222,11800
1227.333333,22600
1227.377778,30050
1227.822222,20450
1227.955556,27350
1228,19500
1228.311111,15650
1228.311111,55050
1228.4,15350
1228.577778,28600
1228.977778,20350
1229.422222,77100
1229.733333,63800
1229.866667,20500
1230.711111,25150
1230.844444,36650
1231.644444,53650
1232.311111,17100
1232.4,49950
1232.577778,34350
1233.333333,70300
1233.555556,31650
1234.044444,108750
1234.133333,44300
1234.711111,7650
1235.6,130450
1236.266667,14950
1237.422222,32800
1237.555556,114500
1237.644444,18000
1238.088889,22950
1238.133333,27950
1238.355556,52150
1238.622222,57000
1238.755556,65100
1238.977778,34250
1239.2,34500
1239.288889,35350
1239.288889,27450
1239.688889,98150
1240.488889,33550
1240.622222,96900
1240.8,54500
1241.155556,33250
1241.244444,17650
1241.733333,16650
1242.177778,36250
1242.355556,35600
1242.355556,22050
1243.644444,19100
1244,81450
1244.4,33100
1245.288889,38900
1245.466667,55950
1245.911111,29000
1246.044444,9650
1246.088889,48500
1246.577778,12900
1246.977778,21100
1247.422222,32450
1247.866667,26050
1248.088889,44350
1248.133333,15400
1248.177778,35200
1248.266667,22600
1248.311111,43800
1248.755556,43250
1248.888889,43800
1248.977778,31100
1249.333333,14500
1250.088889,46600
1250.177778,28650
1250.4,24750
1250.622222,42400
1251.022222,79000
1251.2,29650
