tripduration,starttime
1433,37:37.1
356,37:37.3
1395,37:39.6
514,37:51.5
671,37:56.2
553,37:56.3
837,37:56.9
440,37:57.3
616,38:02.2
1124,38:15.2
700,38:21.7
394,38:59.0
607,39:04.8
825,39:14.2
710,39:29.7
462,39:32.0
716,40:06.3
2381,40:41.1
1523,41:35.2
511,41:36.7
494,41:53.5
470,42:23.0
1265,42:43.4
464,42:45.5
675,43:11.2
927,43:17.6
312,43:20.7
635,43:21.3
704,43:39.2
5180,43:44.0
727,43:46.6
636,43:56.5
475,44:07.4
693,45:10.3
435,45:24.4
404,45:44.8
480,45:53.4
1072,46:29.6
656,46:33.6
974,46:40.6
1762,46:56.3
847,46:57.6
770,47:43.5
469,48:10.9
237,48:22.0
591,48:31.8
413,48:35.2
171,48:38.2
583,48:46.5
1007,48:46.5
432,48:52.7
567,48:54.3
1235,48:54.8
790,48:59.7
161,49:04.5
915,49:31.1
1717,49:33.2
581,50:06.3
770,50:29.0
761,50:39.1
404,50:47.1
767,50:48.5
255,50:52.9
664,51:06.7
564,52:11.0
439,52:23.7
831,52:40.5
632,52:40.8
1688,52:42.3
177,53:24.9
639,53:38.8
1750,53:48.0
1961,53:55.8
728,53:57.9
1575,54:03.8
611,54:33.5
780,55:21.2
520,55:35.3
360,56:39.2
520,56:42.0
443,56:47.9
2099,56:54.1
1147,57:13.6
601,57:17.2
407,57:23.9
1315,57:38.4
269,57:51.9
833,58:04.8
518,58:07.5
529,59:07.0
1263,59:35.5
2051,59:38.7
2426,00:07.9
1042,00:19.6
834,00:45.5
961,00:57.9
1227,01:01.1
758,01:32.7
1056,01:41.8
212,01:50.4
351,02:48.9
1627,02:49.4
666,03:18.7
162,03:19.9
428,03:20.1
1149,03:28.8
413,03:29.0
675,03:31.0
273,04:13.8
598,04:56.1
732,05:06.5
477,05:11.6
3649,05:13.0
742,05:17.7
736,05:21.5
975,05:40.1
639,05:52.6
419,05:57.8
901,06:13.7
1556,06:17.3
550,06:42.9
891,06:53.1
726,07:14.7
291,07:42.5
644,08:01.7
2443,08:30.5
1409,08:30.8
1300,09:05.7
131,09:32.6
726,09:33.0
281,09:35.2
1050,09:40.1
578,09:57.5
1481,10:02.5
735,10:16.3
398,11:07.9
917,11:17.5
676,11:57.7
2204,12:18.6
1180,12:24.3
1048,13:02.1
954,13:03.8
1221,13:20.3
2048,13:20.3
1122,13:22.4
771,13:23.9
558,13:37.2
1167,13:47.1
672,13:53.5
886,13:54.7
2438,14:03.5
1569,14:11.3
311,14:20.9
1734,14:29.4
877,14:30.0
729,14:33.9
220,14:55.4
220,14:58.6
998,15:06.7
1517,15:15.9
188,15:18.6
1038,15:20.1
1462,15:28.6
494,15:33.8
524,15:36.7
353,15:45.8
615,16:05.6
373,16:07.4
450,16:14.5
661,16:41.7
328,16:43.3
820,16:46.8
987,16:47.1
555,16:50.5
979,16:57.8
296,17:03.4
1195,17:15.3
239,17:29.3
1705,17:47.0
1479,17:50.7
611,17:59.7
661,18:09.0
1309,18:13.0
369,18:13.2
1075,18:13.6
1139,18:35.5
449,18:38.4
356,18:42.1
709,18:55.2
415,19:00.7
547,19:09.0
676,19:25.0
2119,19:53.5
316,20:20.6
419,20:30.4
357,20:41.2
875,20:44.0
742,20:54.7
763,20:54.9
1298,21:02.4
739,21:16.1
1183,21:22.0
214,21:27.7
597,21:40.0
300,21:44.4
548,21:50.9
1516,21:52.1
688,21:55.1
185,22:01.7
479,22:06.5
3276,22:17.2
462,22:31.1
1033,22:43.9
1219,22:52.1
1536,22:54.8
1137,22:55.7
511,22:56.1
1160,22:57.2
993,23:03.9
467,23:38.1
1082,23:44.4
1166,24:00.3
193,24:08.4
860,24:12.4
1164,24:15.7
2102,24:20.6
813,24:29.0
783,24:38.4
1246,24:43.8
1009,25:03.9
1146,26:11.1
1313,26:20.7
332,26:21.1
656,26:28.8
1587,26:29.9
802,26:49.2
756,26:50.8
855,27:05.0
653,27:12.3
480,27:13.3
760,27:18.3
651,27:21.1
553,27:27.5
312,27:35.8
887,27:38.7
864,27:47.3
366,27:48.0
933,27:48.3
551,27:59.8
711,28:15.1
701,28:15.5
653,28:16.8
596,28:22.7
552,28:24.1
898,28:28.7
762,28:33.5
957,29:00.9
692,29:15.4
284,29:20.4
1171,29:43.3
704,29:45.1
317,29:51.4
796,30:02.7
907,30:13.4
998,30:25.8
1237,30:25.8
817,30:55.5
992,31:02.5
2039,31:28.4
999,31:39.1
1434,31:49.0
1065,32:10.9
927,32:16.3
667,32:20.6
1799,32:26.7
2274,32:31.0
964,32:36.2
644,32:56.1
979,33:06.8
856,33:06.9
1816,33:13.1
780,33:20.9
349,33:37.0
516,33:39.6
767,33:48.5
546,34:21.5
616,34:21.6
346,34:35.9
495,34:51.2
796,34:56.5
498,34:58.1
518,35:08.5
628,35:10.4
748,35:10.5
2241,35:13.8
1743,35:33.2
388,35:36.2
630,35:36.4
340,35:37.0
976,35:41.4
844,35:44.7
740,35:46.2
287,35:58.2
514,35:59.6
495,36:15.3
581,36:19.6
164,36:29.0
805,36:33.6
417,36:54.9
1151,37:03.4
632,37:14.4
4185,37:24.9
326,37:25.1
596,37:26.5
659,37:29.5
1200,37:31.2
1656,37:31.5
2386,37:41.5
4182,37:47.6
519,37:49.8
1039,38:10.4
913,38:12.8
781,38:17.8
1386,38:19.9
1727,38:54.2
205,38:56.3
1113,39:08.6
1564,39:20.0
995,39:21.7
1728,39:22.1
1027,39:34.8
1673,39:35.4
1059,39:42.9
439,39:53.6
905,39:56.8
342,39:59.6
236,40:07.6
452,40:14.5
601,40:15.9
409,40:26.3
547,40:29.3
390,40:30.1
313,40:36.8
1101,40:37.2
307,40:39.4
572,40:43.1
407,40:52.4
1542,41:02.2
1276,41:09.0
410,41:12.2
503,41:30.7
733,41:34.4
1073,41:51.9
342,42:06.7
999,42:09.2
687,42:12.8
1406,42:29.5
633,42:35.1
2175,42:46.0
886,42:48.3
153,43:00.9
2609,43:20.9
299,43:36.1
656,44:02.3
2290,44:04.7
360,44:07.5
459,44:17.1
559,44:18.3
1043,44:23.1
1140,44:28.9
1302,44:32.5
685,44:36.6
690,44:41.6
707,44:43.8
549,44:44.4
1963,44:52.9
671,45:11.3
1938,45:13.7
1090,45:18.4
665,45:26.1
353,45:28.5
333,45:38.8
725,45:49.2
712,45:52.7
441,45:52.8
382,46:22.2
1629,46:29.6
662,46:38.7
778,46:59.4
1119,47:03.2
580,47:12.7
193,47:15.7
970,47:17.3
258,47:28.4
422,47:36.9
649,47:47.4
521,47:56.8
887,48:01.8
308,48:02.9
704,48:03.7
452,48:06.1
876,48:07.4
865,48:16.8
876,48:19.7
622,48:21.5
290,48:30.0
932,48:46.5
573,48:48.8
495,48:53.6
848,48:58.9
1580,49:08.1
593,49:12.1
230,49:12.9
304,49:13.5
911,49:24.8
895,49:30.8
880,49:32.2
1706,49:36.5
1625,49:59.6
892,50:03.3
627,50:11.0
405,50:13.6
500,50:14.5
219,50:15.2
918,50:19.2
519,50:24.0
399,50:28.2
419,50:41.2
942,50:44.4
373,50:45.0
649,50:45.8
1953,50:51.7
454,51:06.8
968,51:09.4
312,51:16.6
1205,51:53.5
478,51:55.8
285,52:06.7
432,52:18.4
1285,52:21.5
391,52:33.7
377,52:34.6
744,52:50.5
469,52:55.6
465,52:57.0
232,53:33.7
1344,53:40.6
582,53:43.2
1235,53:44.3
929,54:03.4
712,54:14.7
920,54:19.2
961,54:19.6
2921,54:31.7
700,54:35.8
1136,54:43.8
102,54:48.6
1535,54:54.0
1565,55:04.5
543,55:11.0
766,55:12.9
348,55:19.4
499,55:44.7
1058,55:49.3
385,55:52.9
69,56:20.7
1436,56:28.6
1057,56:30.4
622,56:33.0
720,56:33.5
921,56:34.2
891,56:38.1
798,57:00.2
914,57:13.7
540,57:24.4
668,57:32.3
1334,57:49.1
628,58:04.5
247,58:11.2
365,58:18.1
339,58:30.0
1030,58:56.9
1244,58:57.3
1765,59:08.7
1557,59:11.2
1174,59:16.6
416,59:19.9
655,59:20.4
893,59:25.1
870,59:26.7
278,59:37.5
1253,59:52.3
786,00:07.5
947,00:23.9
893,00:43.5
899,00:54.9
697,00:58.8
1287,01:18.2
2485,01:35.6
493,01:40.6
734,01:46.9
389,01:50.2
389,01:52.1
560,02:09.8
141,02:12.5
191,02:30.7
91,02:38.4
3261,02:43.4
1780,02:44.5
1090,03:04.2
1912,03:15.8
921,03:49.6
690,03:51.1
2470,04:01.5
481,04:02.7
537,04:05.2
2107,04:22.4
283,04:29.0
629,04:37.2
248,04:50.9
1533,04:58.5
706,05:05.0
1900,05:21.0
485,05:24.1
1997,05:53.3
480,06:05.1
1126,06:06.7
819,06:20.4
781,06:26.3
575,06:32.1
8010,06:33.2
2178,06:40.0
587,06:40.8
2206,06:43.1
2320,06:59.8
741,07:02.3
1188,07:03.9
776,07:04.7
544,07:14.1
686,07:17.3
3101,07:18.6
262,07:31.2
1309,07:45.1
620,07:46.0
522,07:48.9
860,07:55.4
1601,08:01.1
699,08:01.6
1729,08:02.6
733,08:04.9
974,08:13.3
1304,08:26.2
1100,08:30.5
594,08:31.2
1262,08:38.1
973,08:39.5
2246,08:41.7
3058,08:52.2
1052,08:58.7
315,09:07.7
1024,09:12.0
102,09:14.7
768,09:18.5
346,09:21.8
574,09:37.7
516,09:38.6
1990,09:46.9
1366,09:56.2
998,09:57.2
202,09:58.8
1067,10:00.4
1086,10:00.5
1011,10:01.1
409,10:02.5
599,10:10.1
191,10:14.0
516,10:40.1
432,10:42.5
1796,10:46.2
198,10:53.2
572,11:07.2
492,11:08.9
736,11:11.7
256,11:37.4
759,11:39.1
1001,11:44.0
901,11:44.2
771,11:48.9
675,11:51.5
562,11:53.0
399,11:56.3
1569,11:56.9
326,11:59.1
2197,11:59.9
828,12:12.6
1246,12:16.0
455,12:19.5
617,12:23.0
411,12:27.7
828,12:29.1
350,12:33.5
153,12:35.1
390,12:45.9
1072,12:58.3
420,13:02.0
2315,13:04.5
68,13:04.8
2873,13:09.7
704,13:14.3
569,13:16.4
1707,13:18.5
526,13:34.9
1701,13:35.1
292,13:41.8
5926,13:41.9
540,13:48.3
2037,13:53.7
143,13:58.1
343,13:58.7
1423,14:02.5
1323,14:03.2
1457,14:05.0
565,14:08.7
293,14:19.0
2721,14:19.0
680,14:29.8
949,14:30.9
1675,14:34.2
675,14:38.1
1621,14:45.5
404,15:01.1
688,15:05.8
636,15:13.9
3312,15:20.7
1756,15:23.6
1933,15:36.2
551,15:36.6
3272,15:59.9
1478,16:08.2
375,16:35.6
2353,16:36.7
868,16:59.9
1448,17:09.1
965,17:12.9
1921,17:27.3
1185,17:32.4
871,17:38.7
1999,17:39.9
1100,17:42.6
1641,17:47.0
1047,17:51.5
344,17:57.4
878,18:00.0
299,18:02.0
179,18:07.8
1539,18:07.9
1586,18:08.0
967,18:21.6
1373,18:27.2
568,18:30.4
884,18:41.0
837,18:41.3
603,18:46.0
948,18:49.3
355,18:52.2
122,18:53.6
309,18:54.5
427,19:03.1
1288,19:04.5
901,19:10.2
613,19:13.3
1086,19:13.7
793,19:16.1
1465,19:16.2
1252,19:21.1
2148,19:32.0
324,19:33.1
2129,19:47.9
441,19:49.8
845,19:54.8
719,20:02.9
658,20:08.2
418,20:23.2
1532,20:33.1
245,20:49.3
462,21:05.6
757,21:07.6
307,21:08.6
1458,21:13.3
653,21:27.3
1356,21:37.5
624,21:42.0
1062,21:42.3
315,21:43.9
1090,21:57.1
700,21:59.8
1131,22:00.5
456,22:09.0
266,22:28.4
291,22:31.2
461,22:33.0
1640,22:34.7
1459,22:39.7
340,22:40.0
418,22:50.1
238,22:55.5
611,22:57.5
761,23:04.2
348,23:05.6
518,23:23.9
653,23:26.5
954,23:33.0
531,23:50.8
551,24:08.5
1324,24:15.3
558,24:17.3
918,24:29.4
281,24:30.6
215,24:48.3
434,25:01.0
869,25:03.2
394,25:07.3
442,25:21.7
339,25:27.2
583,25:31.8
624,25:31.8
114,25:49.0
901,25:49.3
452,25:54.5
1543,25:58.8
817,26:02.9
1008,26:10.1
706,26:16.2
729,26:23.8
869,26:35.0
466,26:38.1
746,26:46.9
1916,26:47.7
494,26:53.6
974,26:55.2
1652,27:00.0
389,27:04.1
937,27:06.5
874,27:07.6
1377,27:10.5
481,27:29.2
1399,27:32.9
665,27:33.7
524,27:41.0
408,27:42.8
1473,27:50.7
1746,28:03.9
115,28:04.1
1036,28:04.3
192,28:17.3
2201,28:28.9
528,28:29.5
504,28:31.8
507,28:34.8
1630,28:34.9
1347,28:45.1
357,28:54.6
569,29:04.0
1715,29:07.7
888,29:10.7
731,29:13.3
445,29:36.5
677,29:41.0
1001,29:45.4
790,29:50.4
392,29:51.2
319,30:01.3
1370,30:01.3
807,30:03.5
212,30:13.1
432,30:18.9
261,30:19.7
840,30:26.6
1143,30:32.4
1349,30:44.6
387,30:44.9
2066,30:53.1
364,30:57.4
2053,31:00.6
416,31:04.1
1162,31:10.5
1307,31:21.7
488,31:29.4
1601,31:29.6
1075,31:30.8
1272,31:30.9
3265,31:35.3
848,31:42.1
1339,31:54.5
186,32:10.7
836,32:10.9
539,32:22.4
192,32:22.9
113,32:26.1
271,32:33.8
1527,32:33.9
732,32:35.4
1818,32:47.4
303,33:00.2
1960,33:13.9
1319,33:27.4
1013,33:44.6
1321,33:48.5
395,33:49.9
933,33:59.3
336,34:01.3
3106,34:02.6
1204,34:08.5
542,34:09.2
485,34:16.2
1762,34:18.4
1189,34:19.6
1081,34:24.7
255,34:40.9
501,34:52.8
4813,34:58.5
217,34:59.6
511,35:16.6
470,35:17.8
384,35:31.6
443,35:34.6
360,35:44.2
837,35:49.0
307,35:53.3
349,35:59.6
906,36:02.6
336,36:11.0
339,36:12.3
909,36:15.2
197,36:21.3
811,36:27.4
1291,36:37.2
450,36:46.9
88,36:54.1
516,36:57.8
908,37:02.0
907,37:10.0
355,37:15.9
774,37:46.9
1410,37:48.3
374,38:02.3
812,38:17.3
663,38:27.1
1059,38:36.1
1740,38:45.6
1733,38:47.5
669,38:50.2
810,38:53.5
760,38:58.9
1211,39:02.0
1105,39:08.4
943,39:10.0
112,39:13.5
970,39:28.8
1095,39:30.6
349,39:34.1
793,39:50.8
287,39:55.8
1104,39:56.7
1724,39:59.9
820,40:00.0
350,40:04.6
571,40:05.0
1744,40:05.9
653,40:13.9
476,40:15.3
812,40:26.9
646,40:33.0
884,40:33.1
644,40:34.6
698,40:45.1
345,40:59.8
1127,41:00.7
251,41:16.4
702,41:17.7
1423,41:20.5
1092,41:21.6
1472,41:27.4
376,41:35.6
951,41:37.0
1395,41:38.1
419,41:39.9
1642,41:54.2
636,41:57.6
905,41:58.3
1314,41:58.9
266,42:01.3
563,42:03.3
869,42:12.0
1232,42:29.4
11189,42:33.0
1194,42:36.5
393,42:49.6
840,42:56.8
431,43:00.8
758,43:05.1
1294,43:16.0
941,43:24.2
994,43:31.3
1084,43:31.8
443,43:34.5
1610,43:40.9
1357,43:48.0
1104,43:50.3
805,43:51.7
647,43:52.7
541,43:53.0
2333,44:04.1
1491,44:19.8
1113,44:27.4
1124,44:35.0
1093,44:37.6
308,44:40.6
385,44:44.1
1504,44:44.3
795,44:44.9
1061,44:54.4
360,45:01.8
400,45:05.5
523,45:07.6
2248,45:16.3
1050,45:21.3
400,45:24.2
493,45:27.0
377,45:35.8
1132,45:39.5
921,45:43.8
73,45:44.5
944,45:46.7
217,45:47.1
746,45:48.6
1260,45:52.2
941,46:07.0
515,46:10.5
707,46:10.5
847,46:17.1
1383,46:23.3
621,46:27.2
1249,46:30.7
1641,46:34.0
850,46:42.8
1164,46:50.0
2201,46:57.5
2234,46:57.8
1284,47:01.1
536,47:19.8
811,47:20.9
493,47:21.3
826,47:21.8
466,47:24.9
2839,47:25.4
217,47:26.4
348,47:27.8
1872,47:30.0
5037,47:41.3
765,48:06.1
791,48:10.8
1194,48:21.6
2578,48:21.8
223,48:33.9
832,48:34.5
1204,48:41.6
320,48:51.4
394,48:52.4
171,48:54.5
1845,48:59.7
976,49:01.4
268,49:03.4
1074,49:06.8
883,49:07.4
880,49:12.2
369,49:24.4
536,49:25.5
710,49:36.1
1102,49:36.4
67,49:41.9
3590,49:45.7
2160,49:49.6
644,49:52.0
447,49:58.7
545,50:12.6
388,50:23.8
383,50:31.7
415,50:37.8
674,50:43.0
368,50:44.5
921,50:57.1
1615,51:02.5
1161,51:18.5
322,51:29.2
381,51:32.8
908,51:37.7
339,51:55.4
1261,51:58.2
1716,52:01.1
1328,52:08.6
524,52:13.8
401,52:31.9
823,52:33.6
332,52:35.5
850,52:39.0
272,52:40.5
441,52:47.7
327,52:59.5
863,53:01.9
3109,53:11.5
1229,53:12.6
1937,53:20.7
1982,53:24.2
1285,53:26.4
95,53:31.8
625,53:47.0
4755,53:47.3
947,53:48.0
317,54:04.4
776,54:04.5
984,54:10.0
300,54:13.1
788,54:24.9
693,54:29.4
833,54:32.1
1317,54:39.0
259,54:39.8
358,54:54.7
2421,54:59.1
621,55:05.2
234,55:07.4
627,55:14.0
732,55:15.4
658,55:24.8
831,55:30.8
521,55:50.2
1392,56:02.7
842,56:03.8
520,56:08.0
441,56:12.5
1373,56:13.2
333,56:14.1
907,56:26.1
702,56:32.2
1341,56:45.3
699,56:47.9
902,56:49.6
1030,57:01.8
385,57:13.9
669,57:29.2
1539,57:32.2
898,57:36.9
908,57:53.1
65,57:58.2
553,57:59.6
927,58:03.5
776,58:05.9
549,58:11.9
1886,58:13.2
1522,58:13.3
522,58:13.7
933,58:26.2
914,58:32.0
1451,58:35.3
1136,58:36.0
918,58:45.7
792,58:58.7
1016,59:16.9
1005,59:17.3
999,59:17.5
3553,59:20.9
2060,59:27.2
316,59:38.3
727,59:44.1
305,59:56.8
607,59:59.0
849,00:15.1
301,00:19.7
1674,00:19.9
1214,00:32.5
1445,00:39.1
832,00:44.4
491,00:47.3
1163,01:30.1
313,01:31.1
496,01:41.5
1023,01:48.4
176,01:49.2
2012,01:55.0
165,01:59.3
449,02:03.9
777,02:14.5
913,02:15.4
2116,02:30.4
639,02:36.8
277,02:38.3
294,02:40.2
523,02:43.7
4756,02:45.6
2282,02:53.6
346,02:55.2
1037,02:56.0
1706,02:57.8
969,03:06.8
288,03:10.5
546,03:11.9
1117,03:13.6
621,03:15.7
492,03:19.1
308,03:21.5
634,03:27.0
913,03:33.0
8387,03:33.6
956,03:36.3
1773,03:39.1
513,03:42.2
849,03:49.6
321,04:05.6
8329,04:13.5
967,04:49.7
394,04:51.8
4621,05:08.1
888,05:13.7
577,05:17.3
1077,05:18.3
1006,05:21.1
297,05:23.4
666,05:29.5
797,05:35.3
434,05:41.7
664,06:18.8
321,06:33.0
782,06:35.7
1727,06:36.0
598,06:54.6
955,07:14.9
843,07:19.1
429,07:27.1
704,07:28.9
871,07:41.3
1792,07:42.1
821,07:54.4
541,07:56.4
1011,08:07.6
713,08:32.0
336,08:41.3
363,08:55.5
527,08:57.0
3464,09:27.4
391,10:10.9
399,10:21.2
651,10:26.9
1460,10:29.1
852,10:30.8
466,10:31.7
572,10:41.6
1108,10:47.2
910,11:10.3
4197,11:13.9
1645,11:19.8
1463,11:24.3
805,11:26.4
868,11:27.9
547,11:42.3
1901,11:42.9
1013,11:45.3
568,11:51.3
1361,11:53.0
158,11:56.6
624,12:12.9
1653,12:34.3
1163,12:38.1
1410,12:41.1
1259,12:49.9
772,13:38.3
1774,13:43.5
467,13:52.0
422,14:05.0
358,14:09.2
586,14:18.2
4048,14:38.4
763,14:57.7
794,15:03.7
11289,15:07.9
467,15:25.5
470,15:27.6
577,15:28.9
336,15:38.8
493,15:45.1
1223,15:45.6
433,15:52.1
1094,15:53.3
985,16:06.8
980,16:08.6
1067,16:09.6
2095,16:21.4
578,16:28.3
1255,16:36.2
468,16:40.0
971,16:44.6
281,17:02.3
457,17:18.1
663,17:22.4
417,17:27.4
849,17:32.5
309,17:39.0
197,17:50.3
853,18:24.5
508,18:30.8
1936,18:41.1
504,18:42.7
205,18:47.1
473,18:59.4
504,19:06.1
626,19:09.8
1044,19:18.6
970,19:26.1
997,19:37.7
505,19:44.7
621,20:20.4
221,20:23.8
832,20:32.5
650,20:36.5
1380,20:50.5
1109,20:51.0
931,20:52.7
624,20:59.1
132,21:11.9
283,21:22.2
1355,21:35.7
639,21:49.2
1427,21:49.6
1330,21:53.6
2606,21:55.7
133,22:05.3
894,22:26.8
604,22:55.3
850,23:02.3
1915,23:10.9
229,23:18.5
2120,23:20.6
1577,23:23.3
597,23:28.6
285,23:31.2
9807,23:32.6
1179,23:37.2
1115,23:43.0
359,23:53.6
1509,24:01.1
679,24:17.5
1197,24:18.1
759,24:18.3
1503,24:42.7
231,24:58.3
1086,25:19.0
1089,25:30.8
820,25:37.0
867,25:49.1
931,25:52.2
979,25:52.3
645,26:05.4
949,26:10.1
1377,26:13.5
1019,26:19.2
721,26:49.9
1091,27:05.6
1061,27:18.1
551,27:19.0
728,27:43.1
194,28:10.0
626,28:15.1
1271,28:21.1
1026,28:33.5
521,28:38.4
121,28:59.5
2436,29:23.7
1014,29:25.7
299,29:36.5
201,29:58.1
700,30:11.1
763,30:14.2
287,30:16.1
1595,30:23.8
441,30:30.7
1395,30:56.3
615,31:20.1
394,31:22.8
679,31:25.1
917,31:26.9
1072,31:31.4
966,31:35.2
371,31:36.4
1026,31:47.5
1499,31:48.6
2134,31:55.0
1343,32:01.1
700,32:13.4
